=== AUDIT SCAN REPORT ===
Total Files Scanned: 202

Imagine Dragons - On Top of the World.m4a | On Top of the World - Imagine Dragons | Matched: [Night Visions] | Score: 240 | Cat: Studio Album | Quality: Deezer HD Artwork (1000px) | Flag: OK
Imagine Dragons - Sharks.m4a | Sharks - Imagine Dragons | Matched: [Mercury - Acts 1 & 2] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
JVKE & Nick Jonas - this is what forever feels like.m4a | this is what forever feels like - JVKE & Nick Jonas | Matched: [this is what forever feels like - Single] | Score: 210 | Cat: Single | Quality: iTunes High-Res (3000px) | Flag: OK
Jamie xx - Treat Each Other Right.m4a | Treat Each Other Right - Jamie xx | Matched: [In Waves] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Jason Derulo - Whatcha Say.m4a | Whatcha Say - Jason Derulo | Matched: [Jason Derulo] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Javier - Crazy.m4a | Crazy - Javier | Matched: [Javier] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Jess Glynne - Hold My Hand.m4a | Hold My Hand - Jess Glynne | Matched: [I Cry When I Laugh] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Jimin - Who.m4a | Who - Jimin | Matched: [MUSE] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
John Legend - Green Light (feat. André 3000).m4a | Green Light (feat. André 3000) - John Legend | Matched: [Evolver] | Score: 240 | Cat: Studio Album | Quality: Deezer HD Artwork (1000px) | Flag: OK
Justin Bieber - Never Say Never (feat. Jaden).m4a | Never Say Never (feat. Jaden) - Justin Bieber | Matched: [A Smooth Jazz Salute To Justin Bieber] | Score: 170 | Cat: Studio Album | Quality: Deezer HD Artwork (1000px) | Flag: LOW_SCORE (170)
Justin Timberlake - Like I Love You.m4a | Like I Love You - Justin Timberlake | Matched: [Justified] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Justin Timberlake - SexyBack (feat. Timbaland).m4a | SexyBack (feat. Timbaland) - Justin Timberlake | Matched: [FutureSex/LoveSounds Deluxe Edition] | Score: 240 | Cat: Studio Album | Quality: Deezer HD Artwork (1000px) | Flag: OK
KATSEYE - Gabriela.m4a | Gabriela - KATSEYE | Matched: [BEAUTIFUL CHAOS - EP] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Kali Uchis - Moonlight.m4a | Moonlight - Kali Uchis | Matched: [Red Moon In Venus] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Katharine McPhee - Somewhere Over the Rainbow.m4a | Somewhere Over the Rainbow - Katharine McPhee | Matched: [Somewhere Over the Rainbow / My Destiny - Single] | Score: 210 | Cat: Single | Quality: iTunes High-Res (3000px) | Flag: OK
Katy Perry - California Gurls (feat. Snoop Dogg).m4a | California Gurls (feat. Snoop Dogg) - Katy Perry | Matched: [Teenage Dream: The Complete Confection] | Score: 240 | Cat: Studio Album | Quality: Deezer HD Artwork (1000px) | Flag: OK
Katy Perry - International Smile.m4a | International Smile - Katy Perry | Matched: [PRISM (Deluxe Version)] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Katy Perry - The One That Got Away.m4a | The One That Got Away - Katy Perry | Matched: [Teenage Dream] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Keane - Everybody's Changing.m4a | Everybody's Changing - Keane | Matched: [Hopes and Fears (Deluxe Edition)] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Kelly Clarkson - Since U Been Gone (AOL Live Version).m4a | Since U Been Gone (AOL Live Version) - Kelly Clarkson | Matched: [& Juliet (Original Broadway Cast Recording)] | Score: 240 | Cat: Studio Album | Quality: Deezer HD Artwork (1000px) | Flag: OK
Kenya Grace - Strangers.m4a | Strangers - Kenya Grace | Matched: [The After Taste] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Kevon Edmonds - 24_7.m4a | 24/7 - Kevon Edmonds | Matched: [24/7] | Score: 210 | Cat: Single | Quality: iTunes High-Res (3000px) | Flag: OK
Khalid - in plain sight.m4a | in plain sight - Khalid | Matched: [after the sun goes down] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
LE SSERAFIM - BOOMPALA.m4a | BOOMPALA - LE SSERAFIM | Matched: ['PUREFLOW', Pt. 1] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
LE SSERAFIM - EASY.m4a | EASY - LE SSERAFIM | Matched: [EASY - EP] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
LISA - Moonlit Floor (Kiss Me).m4a | Moonlit Floor (Kiss Me) - LISA | Matched: [Moonlit Floor (Kiss Me)] | Score: 240 | Cat: Studio Album | Quality: Deezer HD Artwork (1000px) | Flag: OK
Lady Gaga & BLACKPINK - Sour Candy.m4a | Sour Candy - Lady Gaga & BLACKPINK | Matched: [Chromatica] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Lady Gaga & Bruno Mars - Die With A Smile.m4a | Die With A Smile - Lady Gaga & Bruno Mars | Matched: [MAYHEM] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Laufey - From The Start.m4a | From The Start - Laufey | Matched: [Bewitched] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Lifehouse - You And Me.m4a | You And Me - Lifehouse | Matched: [Lifehouse] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Lil Dankus - Intermission.m4a | Intermission - Lil Dankus | Matched: [Ænima] | Score: 170 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: LOW_SCORE (170)
Lil Dicky - Pillow Talking (feat. Brain).m4a | Pillow Talking (feat. Brain) - Lil Dicky | Matched: [Professional Rapper] | Score: 240 | Cat: Studio Album | Quality: Deezer HD Artwork (1000px) | Flag: OK
M2M - Don't Say You Love Me.m4a | Don't Say You Love Me - M2M | Matched: [The Day You Went Away] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Madison Beer - Reckless.m4a | Reckless - Madison Beer | Matched: [Silence Between Songs] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Madison Beer - bittersweet.m4a | bittersweet - Madison Beer | Matched: [locket] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
